from,to,km
Mangalore,Panaji,363
Prayagraj,Jabalpur,365
Jodhpur,Kota,368
Chandigarh,Jammu,368
Jamshedpur,Cuttack,369
Nashik,Vadodara,372
Vadodara,Jamnagar,374
Tirupati,Tiruchirappalli,378
Tirupati,Guntur,379
Salem,Tirunelveli,379
Prayagraj,Patna,380
Mathura,Ajmer,380
Muzaffarpur,Siliguri,382
Mumbai,Kolhapur,382
Indore,Ahmedabad,383
Aurangabad,Surat,386
Coimbatore,Thiruvananthapuram,386
Ambala,Jammu,390
Dhanbad,Muzaffarpur,391
Jamshedpur,Bhubaneswar,391
Udaipur,Indore,395
Bilaspur,Nagpur,396
Ranchi,Muzaffarpur,398
Thiruvananthapuram,Kozhikode,401
Ranchi,Kolkata,402
Visakhapatnam,Guntur,404
Indore,Aurangabad,414
Amritsar,Srinagar,415
Vijayawada,Tirupati,417
Guntur,Chennai,417
Solapur,Panaji,417
Mumbai,Vadodara,419
Indore,Nashik,419
Kolkata,Cuttack,420
Surat,Rajkot,422
Bikaner,Gurugram,423
Jalandhar,Srinagar,423
Bhubaneswar,Visakhapatnam,425
Udaipur,Bhavnagar,425
Delhi,Bikaner,426
Bhopal,Gwalior,428
Siliguri,Guwahati,441
Kolkata,Bhubaneswar,442
Jodhpur,Ahmedabad,444
Shillong,Agartala,444
Indore,Nagpur,446
Ranchi,Bilaspur,448
Nagpur,Aurangabad,448
Cuttack,Visakhapatnam,450
Rourkela,Raipur,450
Bikaner,Ludhiana,452
Varanasi,Jabalpur,455
Vijayawada,Chennai,455
Solapur,Warangal,455
Nagpur,Warangal,456
Kolkata,Rourkela,458
Patna,Siliguri,469
Guwahati,Imphal,478
Ludhiana,Srinagar,481
Dhanbad,Cuttack,481
Dhanbad,Siliguri,482
Udaipur,Rajkot,483
Nagpur,Hyderabad,498
Dhanbad,Bhubaneswar,503
Surat,Jamnagar,511
Prayagraj,Bilaspur,512
Hyderabad,Hubli,515
Visakhapatnam,Warangal,526
Bhopal,Vadodara,527
Guwahati,Agartala,533
Agartala,Imphal,536
Siliguri,Shillong,539
Shillong,Imphal,541
Cuttack,Raipur,543
Gaya,Siliguri,559
Bhubaneswar,Raipur,560
Chandigarh,Srinagar,568
Udaipur,Jamnagar,573
Raipur,Visakhapatnam,575
Ambala,Srinagar,590
Muzaffarpur,Guwahati,801
Patna,Guwahati,889
Muzaffarpur,Shillong,899
Siliguri,Imphal,919
Siliguri,Agartala,974
Patna,Shillong,987
Muzaffarpur,Imphal,1280
Muzaffarpur,Agartala,1335
Patna,Imphal,1367
Patna,Agartala,1422
